"rawname","name","rawaffiliation","affiliation","stance"
"Shaun Maguire","shaun maguire","Partner, Sequoia Capital; Board Member, Luminar Technologies","sequoia capital","California Letter 1"
"Rakesh Mahto","rakesh mahto","Assistant Professor of Computer Engineering, California State University, Fullerton","california state university fullerton","California Letter 1"
"Chi Mak","chi mak","Professor of Chemistry, University of Southern California","university of southern california","California Letter 1"
"Nikolai Makarov","nikolai makarov","Distinguished Professor of Mathematics, California Institute of Technology","california institute of technology","California Letter 1"
"Joseph Malchow","joseph malchow","General Partner, Hanover Technology Investment Management","hanover technology investment management","California Letter 1"
"Fedor Malikov","fedor malikov","Professor of Mathematics, University of Southern California","university of southern california","California Letter 1"
"Katya Malikov","katya malikov","Mathematics Department Chair, Geffen Academy High School (University of California, Los Angeles); former Mathematics Teacher, Maimonides Academy (West Hollywood); former Mathematics Department Chair, Shalhevet High School (Los Angeles)","geffen academy high school","California Letter 1"
"Michael M. Malione","michael malione","Private Enrichment Math Educator, Malone Learning Center; former high school mathematics teacher, Piedmont Unified School District","malione learning center","California Letter 1"
"Matthew Malkan","matthew malkan","Distinguished Professor of Physics and Astronomy, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Sean M. Maloney","sean m maloney","Information Technology Executive, Former INTEL Corp., President SMM International; Chairman, Intel China; Executive, Vice President, Intel Corp; Angel investor; Board of Directors, National Park Foundation, Netronome; former Board of Directors, Cadence and Autodesk","intel","California Letter 1"
"Janice L. Malouf","janice l malouf","Lecturer in Mathematics, California State University, Bakersfield","california state university bakersfield","California Letter 1"
"Mark Mandelkern","mark mandelkern","Professor of Physics, University of California, Irvine","university of california irvine","California Letter 1"
"Vladimir Mandelshtam","vladimir mandelshtam","Professor of Chemistry, University of California, Irvine","university of california irvine","California Letter 1"
"Kieran Mann","kieran mann","Medical Device Engineer, Omniscient Neurotechnology","omniscient neurotechnology","California Letter 1"
"Aneesh Manohar","aneesh manohar","Distinguished Professor of Physics, University of California, San Diego","university of california san diego","California Letter 1"
"Vasilios I. Manousiouthakis","vasilios i manousiouthakis","Distinguished Professor of Chemical Engineering, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Joseph H. Manson","joseph h manson","Professor of Anthropology, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Romina Marazzato Sparano","romina marazzato sparano","Former Professor and Acting Chair, Master of Arts in Translation/Localization Management, Middlebury Institute of International Studies at Monterey; Current board member at Plain Language Association International, ISO TC37 voting member, founder of Plain Language International Inc., STEM translator.","middlebury institute of internatinal studies","California Letter 1"
"David Margulies","david margulies","Retired Research Staff Member, IBM Research-Almaden Lab","ibm","California Letter 1"
"Caryl Ann Margulies","caryl ann margulies","Retired Instructor of Mathematics, University of California, Irvine","university of california irvine","California Letter 1"
"William Margulies","william margulies","Faculty Emeritus Mathematics, California State University, Long Beach","california state university long beach","California Letter 1"
"Zachary H. Marks","zachary h marks","Professor of Mathematics, El Camino Community College","el camino college","California Letter 1"
"Matthew R. Marler","matthew r marler","Retired Statistician; formerly at University of California, San Diego Psychiatry Department; Quest Diagnostics; Astra Arcus","university of california san diego","California Letter 1"
"David F. Marquardt","david f marquardt","Partner, August Capital","august capital","California Letter 1"
"Christopher Martin","christopher martin","Professor of Physics, California Institute of Technology; Principle Investigator, Galaxy Evolution Explorer-NASA","california institute of technology","California Letter 1"
"Crystal Martin","crystal martin","Professor of Physics, University of California, Santa Barbara","university of california santa barbara","California Letter 1"
"John Martinis","john martinis","Professor of Physics, University of California, Santa Barbara","university of california santa barbara","California Letter 1"
"Valeria Martinovic","valeria martinovic","Chemistry Instructor, DeAnza College","de anza community college","California Letter 1"
"Maxim Martynov","maxim martynov","Software Engineer, Arista networks; former Algebra Instructor, Purdue University","purdue university","California Letter 1"
"Sarah Marzen","sarah marzen","Assistant Professor of Physics, Claremont Colleges","claremont colleges","California Letter 1"
"Norman Matloff","norman matloff","Professor of Computer Science, University of California, Davis","university of california davis","California Letter 1"
"Nelson Max","nelson max","Distinguished Professor of Computer Science Emeritus, University of California, Davis","university of california davis","California Letter 1"
"Dror Maydan","dror maydan","Director of Software, Cisco","cisco","California Letter 1"
"Ben Maydan","ben maydan","Mathematics Teacher Peninsula Bridge","peninsula bridge","California Letter 1"
"David F. Maynard","david f maynard","Professor of Chemistry & Biochemistry, California State University San Bernardino","california state university san bernardino","California Letter 1"
"Keith McAllister","keith mcallister","Retired Mathematics Instructor, former department chair, City College of San Francisco","city college of san francisco","California Letter 1"
"Jon McAuliffe","jon mcauliffe","Professor of Statistics, University of California, Berkeley","university of california berkeley","California Letter 1"
"Kara E. McCloskey","kara e mccloskey","Associate Professor of Engineering, University of California, Merced","university of california merced","California Letter 1"
"Clyde W. McCurdy","clyde w mccurdy","Professor of Chemistry, University of California, Davis; Former Associate Laboratory Director for Computational Sciences, Lawrence Berkeley National Laboratory","university of california davis","California Letter 1"
"John W. McDaniel","john w mcdaniel","Lecturer of Biology, San Jose State University","san jose state university","California Letter 1"
"Eric McFarland","eric mcfarland","Professor of Chemical Engineering, University of California, Santa Barbara","university of california santa barbara","California Letter 1"
"John McGreevy","john mcgreevy","Professor of Physics, University of California, San Diego","university of california san diego","California Letter 1"
"Christopher F. McKee","christopher f mckee","Professor of Physics and Astronomy Emeritus, University of California, Berkeley; former Interim Dean of Mathematical and Physical Sciences; former Interim Vice Chancellor for Research at University of California, Berkeley","university of california berkeley","California Letter 1"
"Bryant R. McLaughlin","bryant r mclaughlin","Vice President, Chemistry Manufacturing and Controls, 9 Meters Biopharma","9 meters biopharma","California Letter 1"
"Julia McMeans","julia mcmeans","Director of Education, San Diego Model Railroad Museum; former elementary school teacher; K-8 curriculum writer","san diego model railroad museum","California Letter 1"
"Bruce McNaughton","bruce mcnaughton","Distinguished Professor, University of California, Irvine","university of california irvine","California Letter 1"
"Gerad Medioni","gerad medioni","Professor of Computer Science Emeritus, University of Southern California","university of southern california","California Letter 1"
"Mason M. Medizade","mason m medizade","Professor of Petroleum and Mechanical Engineering, California Polytechnic State University, San Luis Obispo","california polytechnic state university san luis obispo","California Letter 1"
"Raghu Meka","raghu meka","Professor of Computer Science, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Jesyka Meléndez Rosa","jesyka melendez rosa","Professor of Biology, Humboldt State University","humboldt state university","California Letter 1"
"Jerry M. Mendel","jerry m mendel","Professor of Electrical Engineering Practice, University of Southern California","university of southern california","California Letter 1"
"Georg Menz","georg menz","Associate Professor of Mathematics, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Phyllis Metcalfe","phyllis metcalfe","Former Trustee, Marin Community College District","marin community college district","California Letter 1"
"Lori Meyers","lori meyers","Teacher and Math Specialist, Private school",NA,"California Letter 1"
"Thomas Mieh","thomas mieh","Professor of Mathematics, Bakersfield College","bakersfield college","California Letter 1"
"Remigijus Mikulevicius","remigijus mikulevicius","Professor of Mathematics, University of Southern California","university of southern california","California Letter 1"
"R. James Milgram","r james milgram","Professor of Mathematics Emeritus, Stanford University; co-author, 1997 California Mathematics Standards; co-author, 1998 California Mathematics Framework; Member, Validation Committee for the Common Core Standards; Member, NASA Advisory Commission (focused on helping NASA determine the best way to improve the quality of STEM-degree holders)","stanford university","California Letter 1"
"Ethan Miller","ethan miller","Veritas Professor of Computer Science and Engineering, University of California, Santa Cruz; Fellow, Institute of Electrical and Electronics Engineers; Distinguished Member, Association for Computing Machinery","university of california santa cruz","California Letter 1"
"Timothy E. Miller","timothy e miller","Principal Architect - Advanced Analytics, Teradata; Lecturer University California, San Diego - Business Analytics","university of california san diego","California Letter 1"
"Susan Million","susan million","Research Associate, Stanford University; former Mathematics Teacher and High School Principal, Cabrillo Unified School District","stanford university","California Letter 1"
"Stephan B. Minch","stephan b minch","Associate Adjunct Professor of Ecology & Evolutionary Biology, University of Santa Cruz","university of california santa cruz","California Letter 1"
"Matthew Mitchell","matthew mitchell","Professor of Mathematics, American River College","american river college","California Letter 1"
"Eric D. Mjolsness","eric d mjolsness","Professor of Computer Science and Mathematics, University of California, Irvine","university of california irvine","California Letter 1"
"Laurice F. Mogannam","laurice f mogannam","Professor of Mathematics, Sonoma State University","sonoma state university","California Letter 1"
"Makan Mohageg","makan mohageg","Quantum Technologist, Jet Propulsion Laboratory; Adjunct Professor of Physics, California State University, Northridge","california state university northridge","California Letter 1"
"Tina Molander","tina molander","Teacher, San Juan Unified School District","san juan unified school district","California Letter 1"
"Jane Katherine Molnar","jane katherine molnar","Mathematics Teacher & Writer, Molnar Math Academy; author of Math Class Redesigned","molnar math academy","California Letter 1"
"Andrea Montanari","andrea montanari","Professor of Electrical Engineering and Statistics, Stanford University","stanford university","California Letter 1"
"Elizabeth Moore","elizabeth moore","Former Elementary School Teacher and Biotech Professional",NA,"California Letter 1"
"James Elliott Moore II","james elliott moore ii","Professor of Industrial and Systems Engineering, Civil and Environmental Engineering and Public Policy; Director, Transportation Engineering Program; former Department Chair; former Vice Dean for Academic Programs; Viterbi School of Engineering, University of Southern California","university of southern california","California Letter 1"
"Mark R. Morris","mark r morris","Professor of Astronomy and Astrophysics, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Karen W. Morris","karen w morris","Professor of Chemistry, Emerita; President Emerita, Western Washington University;; Former Provost and Academic V.P.; Service on NSF, ACS committees, boards","western washington university","California Letter 1"
"Anthony F. Moscati Jr.","anthony f moscati jr","Professor of Physics and Astronomy, Concordia University Irvine","concordia university irvine","California Letter 1"
"Charlotte Mosher","charlotte mosher","K-5 Math Specialist, Katherine Michiels School","katherine michiels school","California Letter 1"
"Michael Andrew Moshier","michael andrew moshier","Professor of Mathematics and Computer Science, Chapman University","chapman university","California Letter 1"
"Mike Moss","mike moss","UX Designer, Google","google","California Letter 1"
"Holger Mueller","holger mueller","Professor of Physics, University of California, Berkeley","university of california berkeley","California Letter 1"
"Motoico Mulase","motoico mulase","Distinguished Professor of Mathematics, University of California, Davis","university of california davis","California Letter 1"
"Richard S. Muller","richard s muller","Professor Emeritus Electrical Engineering and Computer Science, University of California, Berkeley; Founder, Director of Berkeley Sensor and Actuator Center; Member, National Academy of Engineering; Editor-in-Chief IEEE Journal of MEMS 1996-2012","university of california berkeley","California Letter 1"
"Richard A. Muller","richard a muller","Professor of Physics Emeritus, University of California, Berkeley; Chief Technology Officer, Deep Isolation","university of california berkeley","California Letter 1"
"Richard R. Muntz","richard r muntz","Professor of Computer Science Emeritus, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Tommy Murphy","tommy murphy","Associate Professor of Mathematics, California State University, Fullerton","california state university fullerton","California Letter 1"
"Yevgeniya Mushkatblat","yevgeniya mushkatblat","Professor of Computer Science, California State University, Northridge","california state university northridge","California Letter 1"
"Paul A. Nafziger","paul a nafziger","Retired Vice President and General Manager, BAE Systems Flight Systems, Mojave, CA","bae systems","California Letter 1"
"Ramin Naimi","ramin naimi","Professor of Mathematics, Occidental College","occidental college","California Letter 1"
"David Naish","david naish","Professor of Civil Engineering, California State University, Fullerton","california state university fullerton","California Letter 1"
"Joe Nalven","joe nalven","Research Associate, University of San Diego; Associate Director of the Institute for Regional Studies, San Diego State University; Rockefeller Postdoctoral Fellow in Environmental Affairs","university of san diego","California Letter 1"
"Onuttom Narayan","onuttom narayan","Professor of Physics, University of California, Santa Cruz","university of california santa cruz","California Letter 1"
"Peiman Naseradinmousavi","peiman naseradinmousavi","Associate Professor of Mechanical Engineering Department, San Diego State University","san diego state university","California Letter 1"
"Kenneth H. Nealson","kenneth h nealson","Professor of Earth Science and Biological Sciences, University of Southern California","university of southern california","California Letter 1"
"John Charles Neu","john charles neu","Professor of Mathematics, University of California, Berkeley","university of california berkeley","California Letter 1"
"Daniel Neuhauser","daniel neuhauser","Professor of Theoretical Chemistry, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Barbara Neuhauser","barbara neuhauser","Professor of Physics Emerita, San Francisco State University","san francisco state university","California Letter 1"
"Michelle New","michelle new","Accountant, Franklin Square Properties LLC","franklin square properties","California Letter 1"
"Sharon Newman-Gomez","sharon newman gomez","Assistant Professor of Mathematics, Pasadena City College","pasadena city college","California Letter 1"
"Chad Newton","chad newton","Professor of Biology, Bakersfield College","bakersfield college","California Letter 1"
"Kimberly Newton","kimberly newton","Professor of Biology, Bakersfield College","bakersfield college","California Letter 1"
"Jasmine Ng","jasmine ng","Professor of Mathematics, El Camino College","el camino college","California Letter 1"
"Tse Nga Ng","tse nga ng","Associate Professor of Electrical and Computer Engineering, University of California, San Diego","university of california san diego","California Letter 1"
"Nhat Nguyen","nhat nguyen","Lecturer of Electrical Engineering, San José State University","san jose state university","California Letter 1"
"Kim-Lien Nguyen","kim lien nguyen","Associate Professor of Medicine, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Truong Nguyen","truong nguyen","Distinguished Professor of Electrical and Computer Engineering, University of California, San Diego","university of california san diego","California Letter 1"
"Kaixuan Ni","kaixuan ni","Professor of Physics, University of California, San Diego","university of california san diego","California Letter 1"
"Yi Ni","yi ni","Professor of Mathematics, California Institute of Technology","california institute of technology","California Letter 1"
"Lei Ni","lei ni","Professor of Mathematics, University of California, San Diego; former Chair, Mathematics Department University of California, San Diego; former middle school and highschool Mouthcounts coach.","university of california san diego","California Letter 1"
"Janet Nicholas","janet nicholas","former Member, California State Board of Education","california state board of education","California Letter 1"
"Ali M. Niknejad","ali m niknejad","Professor of Electrical Engineering and Computer Sciences, University of California, Berkeley","university of california berkeley","California Letter 1"
"S. Ben Niku","s ben niku","Professor of Engineering, California Polytechnic State University, San Luis Obispo","california polytechnic state university san luis obispo","California Letter 1"
"Harry F. Noller","harry f noller","Professor of Molecular Biology, University of California, Santa Cruz; Member, U.S. National Academy of Sciences, Gairdner International Prize, Breakthrough Prize in Life Sciences, Aminoff Prize, Massry Prize, Paul Ehrlich Prize","university of california santa cruz","California Letter 1"
"Yasunori Nomura","yasunori nomura","Professor of Physics, University of California, Berkeley","university of california berkeley","California Letter 1"
"Eric Benzo Norman","eric benzo norman","Professor in the Graduate School, University of California, Berkeley","university of california berkeley","California Letter 1"
"Noele Norris","noele norris","Postdoctoral Scholar, Lawrence Berkeley National Laboratory","lawrence berkeley national laboratory","California Letter 1"
"William Eric Norum","william eric norum","Senior Engineer, Lawrence Berkeley National Laboratory; Senior Member, Institute of Electrical and Electronics Engineers","lawrence berkeley national laboratory","California Letter 1"
"Steven Nutt","steven nutt","Professor of Materials Science, University of Southern California","university of southern california","California Letter 1"
"Thomas M. O’Neil","thomas m o'neil","Distinguished Professor of Physics Emeritus, University of California, San Diego","university of california san diego","California Letter 1"
"Daniel O’Connor","daniel o'connor","Assistant Professor of Mathematics and Statistics, University of San Francisco","university of san francisco","California Letter 1"
"Michal Odyniec","michal odyniec","Retired Electrical Engineer",NA,"California Letter 1"
"Valentin Ofshteyn","valentin ofshteyn","Software Developer, Autodesk","autodesk","California Letter 1"
"Paul Oh","paul oh","High School Chemistry Teacher, Long Beach Unified School District","long beach unified school district","California Letter 1"
"Lee Ohanian","lee ohanian","Distinguished Professor of Economics, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Loes Olde Loohuis","loes olde loohuis","Assistant Professor of Psychiatric Genetics, Medical School, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Bruno Olshausen","bruno olshausen","Professor of Electrical Engineering and Computer Sciences, University of California, Berkeley","university of california berkeley","California Letter 1"
"Sherazkhan M. Omarzai","sherazkhan m omarzai","Physics Faculty, California State University, Chico","california state university chico","California Letter 1"
"Kanji Ono","kanji ono","Professor of Engineering and Applied Science Emeritus, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Shmuel Shiming Oren","shmuel shiming oren","Professor of the Graduate School and Professor of Industrial Engineering and Operations Research, University of California, Berkeley; Member of the National Academy of Engineering; Life Fellow of IEEE; Fellow of INFORMS","university of california berkeley","California Letter 1"
"Antonio Ortega","antonio ortega","Professor of Electrical and Computer Engineering, University of Southern California","university of southern california","California Letter 1"
"Andrei L. Osterman","andrei l osterman","Professor, Bioinformatics, Stanford Burnham Prebys Medical Discovery Institute","stanford university","California Letter 1"
"Rafail Ostrovsky","rafail ostrovsky","Distinguished Professor of Computer Science, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Rafail Ostrovsky","rafail ostrovsky","Distinguished Professor of Computer Science and Mathematics, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Sergei Ovchinnikov","sergei ovchinnikov","Professor of Mathematics Emeritus, San Francisco State University","san francisco state university","California Letter 1"
"Howard A. Padmore","howard a padmore","Senior Scientist, Lawrence Berkeley National Laboratory; Adjunct Professor of Physics, Arizona State University","arizona state university","California Letter 1"
"Morgan Page","morgan page","Research Geophysicist, California Institute of Technology","california institute of technology","California Letter 1"
"Brian Palenik","brian palenik","Professor of Marine Biology, University of California, San Diego","university of california san diego","California Letter 1"
"Jong-Shi Pang","jong shi pang","Epstein Family Chair and Professor of Industrial and Systems Engineering, University of Southern California","university of southern california","California Letter 1"
"Hagop V. Panossian","hagop v panossian","Technical Fellow, Boeing","boeing","California Letter 1"
"Marco Panza","marco panza","Professor of Mathematics and Philosophy, Chapman University","chapman university","California Letter 1"
"George C. Papen","george c papen","Professor of Electrical and Computer Engineering, University of California, San Diego","university of california san diego","California Letter 1"
"Michele Papucci","michele papucci","Research Professor of Physics, California Institute of Technology","california institute of technology","California Letter 1"
"Shiv P. Parikh","shiv p parikh","Software Engineer, Google","google","California Letter 1"
"David L. desJardins","david desjardins","Investor, DJ Ventures; Trustee University of California, Berkeley Foundation, Massachusetts Institute of Technology Corporation Member","massachusetts institute of technology","California Letter 1"
"Tessa I. Parish","tessa i parish","Former public school teacher; Housing Commissioner, City of Cupertino","city of cupertino","California Letter 1"
"Lucy Parker","lucy parker","Professor of Computer Science, California State University, Northridge","california state university northridge","California Letter 1"
"Beresford N. Parlett","beresford n parlett","Professor of Mathematics, University of California, Berkeley","university of california berkeley","California Letter 1"
"Niranjani Patel","niranjani patel","Professor of Industrial and Systems Engineering, San José State University","san jose state university","California Letter 1"
"Chandra Kumar Patel","chandra kumar patel","President and Chief Executive Officer, Pranalytica, Inc; Member, NAS, NAE; Recipient of Presidential Medal of Science","pranalytica inc.","California Letter 1"
"Suzanne Patti","suzanne patti","Executive Assistant Venture Capital, previously, Walden International Investment Group","walden international investment group","California Letter 1"
"Tim Payer","tim payer","Lecturer of Mathematics, Humboldt State University","humboldt state university","California Letter 1"
"Mary Ann Payne","mary ann payne","Certified Public Accountant, Payne Financial Consulting","payne financial consulting","California Letter 1"
"Judea Pearl","judea pearl","Chancellor Professor of Computer Science, University of California, Los Angeles; Member, National Academy of Sciences","university of california los angeles","California Letter 1"
"John C. Pearl","john c pearl","Retired Engineer, American Society of Mechanical Engineers",NA,"California Letter 1"
"Rebecca Pearlman","rebecca pearlman","Mathematics Teacher, Carlmont High School","carlmont high school","California Letter 1"
"William N. Peckovich","william n peckovich","Retired President, IX2 Networks","ix2 networks","California Letter 1"
"Becky Pecoraro","becky pecoraro","High School Math Teacher, Oak Ridge High School","oak ridge high school","California Letter 1"
"Karthik Reddy Peddireddy","karthik reddy peddireddy","Faculty in Physics, University of San Diego","university of san diego","California Letter 1"
"Vishnu Pendyala","vishnu pendyala","Lecturer of Computer Engineering, San José State University","san jose state university","California Letter 1"
"Daniel Pepper","daniel pepper","Software Engineer, Engineering10x","engineering10x","California Letter 1"
"Theodore S. Perry","theodore s perry","Physicist, Lawrence Livermore National Laboratory","lawrence livermore national laboratory","California Letter 1"
"Kristin A. Persson","kristin a persson","Professor of Materials Science and Engineering, University of California, Berkeley","university of california berkeley","California Letter 1"
"Bryan Peterson","bryan peterson","Math Teacher, Kingsburg High School","kingsburg high school","California Letter 1"
"Dragutin Petkovic","dragutin petkovic","Professor of Computer Science, San Francisco State University","san francisco state university","California Letter 1"
"Pavel Pevzner","pavel pevzner","Professor of Computer Science and Engineering, University of California, San Diego","university of california san diego","California Letter 1"
"Robert F. Phalen","robert f phalen","Professor of Medicine, University of California, Irvine","university of california irvine","California Letter 1"
"Phuong Pham","phuong pham","Assistant Professor (Research) of Biological Sciences, University of Southern California","university of southern california","California Letter 1"
"Phan Phan","phan phan","Adjunct Faculty, Systems Architecture & Engineering, Dept. of Astronautical Engineering, University of Southern California","university of southern california","California Letter 1"
"Sterl Phinney","sterl phinney","Professor of Theoretical Astrophysics, California Institute of Technology","california institute of technology","California Letter 1"
"Krzysztof Pilch","krzysztof pilch","Professor of Physics and Astronomy, University of Southern California","university of southern california","California Letter 1"
"Laurent Pilon","laurent pilon","Professor of Mechanical and Aerospace Engineering, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Mark Pincus","mark pincus","Chairman, Founder, Zynga","zynga","California Letter 1"
"Brian Piner","brian piner","Professor of Physics and Astronomy, Whittier College","whittier college","California Letter 1"
"Nicholas Pinter","nicholas pinter","Shlemon Chair in Applied Geosciences, University of California, Davis","university of california davis","California Letter 1"
"Alexandra Piryantinska","alexandra piryantinska","Professor of Mathematics, San Francisco State University","san francisco state university","California Letter 1"
"Kristofer Pister","kristofer pister","Professor of Electrical Engineering and Computer Sciences, University of California, Berkeley","university of california berkeley","California Letter 1"
"Jelena PjesivacGrbovic","jelena pjesivacgrbovic","Head of Software, Clinical Research Platforms, Verily Life sciences","verily life sciences","California Letter 1"
"John Platt","john platt","Professor of Physics, Bakersfield College","bakersfield college","California Letter 1"
"Timothy S. Plett","timothy s plett","Professor of Geology, University of Southern California","university of southern california","California Letter 1"
"Charles R. Plott","charles r plott","Professor of Economics and Political Science, California Institute of Technology; Member, National Academy of Science, American Academy of Science","california institute of technology","California Letter 1"
"Jacek Polewczak","jacek polewczak","Professor of Mathematics, California State University, Northridge","california state university northridge","California Letter 1"
"Leslie Polgar","leslie polgar","Retired Chief Executive Officer, Forth Dimension Displays,","forth dimension displays","California Letter 1"
"Wai Yan Pong","wai yan pong","Professor of Mathematics, California State University Dominguez Hills","california state university dominguez hills","California Letter 1"
"Kameshwar Poolla","kameshwar poolla","Professor of Electrical Engineering and Computer Sciences, University of California, Berkeley","university of california berkeley","California Letter 1"
"Kathryn F. Porter","kathryn f porter","Professor of Mathematics, Saint Mary’s of California","saint mary's college of california","California Letter 1"
"Beth Powell","beth powell","Mathematics Instructor, MiraCosta Community College","miracosta community college","California Letter 1"
"Surya G. Prakash","surya g prakash","Professor and Chairman, Department of Chemistry, University of Southern California","university of southern california","California Letter 1"
"Steven Prestrelski","steven prestrelski","Chief Scientific Officer, Xeris Pharmaceuticals, Inc.","xeris pharmaceuticals inc.","California Letter 1"
"Vladimir Prodanov","vladimir prodanov","Professor of Electrical Engineering, California Polytechnic State University, San Luis Obispo; former AVID tutor","california polytechnic state university san luis obispo","California Letter 1"
"Leonid P. Pryadko","leonid p pryadko","Professor of Physics, University of California, Riverside","university of california riverside","California Letter 1"
"Elbridge Gerry Puckett","elbridge gerry puckett","Professor of Mathematics, University of California, Davis","university of california davis","California Letter 1"
"Charles C. Pugh","charles c pugh","Professor of Mathematics Emeritus, University of California, Berkeley","university of california berkeley","California Letter 1"
"Mihai Putinar","mihai putinar","Professor of Mathematics, University of California, Santa Barbara","university of california santa barbara","California Letter 1"
"Seth Putterman","seth putterman","Professor of Physics, University of California, Los Angeles; President of the Julian Schwinger Foundation","university of california los angeles","California Letter 1"
"Peter Qin","peter qin","Professor of Chemistry, University of Southern California","university of southern california","California Letter 1"
"Jian Qin","jian qin","Assistant Professor of Chemical Engineering, Stanford University","stanford university","California Letter 1"
"Janice Quan","janice quan","Math Educator and Curriculum Specialist, Alameda Unified School District","alameda unified school district","California Letter 1"
"Felix Rabinovich","felix rabinovich","Professor of Computer Science, California State University, Northridge; Vice President of ACT-1 Group","california state university northridge","California Letter 1"
"Christopher Rafanelli","christopher rafanelli","Superintendent, Liberty School District","liberty school district","California Letter 1"
"Saty Raghavachary","saty raghavachary","Associate Professor of Computer Science Practice, University of Southern California","university of southern california","California Letter 1"
"Prasad Raghavendra","prasad raghavendra","Associate Professor of Electrical Engineering and Computer Science Practice, University of California, Berkeley","university of california berkeley","California Letter 1"
"Srinivas Raghu","srinivas raghu","Associate Professor of Physics, Stanford University","stanford university","California Letter 1"
"Saeid Rahimi","saeid rahimi","Emeritus Dean and Emeritus Professor, Sonoma State University","sonoma state university","California Letter 1"
"Timothy Rainone","timothy rainone","Assistant Professor of Mathematics, Occidental College","occidental college","California Letter 1"
"Mark Rakhmilevich","mark rakhmilevich","Senior Director, Blockchain Product Management and High Availability Technologies, Oracle; Co-chair, Silicon Valley Hyperledger meetup group; startup mentor","oracle","California Letter 1"
"Joseph N. Ram","joseph n ram","Associate Professor of Physics, Santa Clara University","santa clara university","California Letter 1"
"Pradeep Ramanathan","pradeep ramanathan","Associate Professor of Speech Language, Language, and Hearing Sciences, California State University, East Bay","california state university east bay","California Letter 1"
"Christina Ramirez","christina ramirez","Professor of Biostatistics, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Michael Ratz","michael ratz","Professor of Physics, University of California, Irvine","university of california irvine","California Letter 1"
"Eyal Raz","eyal raz","Professor of Medicine, University of California, San Diego","university of california san diego","California Letter 1"
"Guy Ramon","guy ramon","Mechanical Engineer, Trelleborg Sealing Solutions","trelleborg sealing solutions","California Letter 1"
"Ziv Ran","ziv ran","Professor of Mathematics, University of California, Riverside","university of california riverside","California Letter 1"
"Antonio Rangel","antonio rangel","Professor of Neuroscience, Behavioral Biology and Economics, California Institute of Technology","california institute of technology","California Letter 1"
"Behzad Razavi","behzad razavi","Professor of Electrical Engineering, University of California, Los Angeles; Member, U.S. National Academy of Engineering","university of california los angeles","California Letter 1"
"Gabriel Rebeiz","gabriel rebeiz","Professor of Engineering, University of California, San Diego","university of california san diego","California Letter 1"
"James Ward Rector","james ward rector","Professor of Geophysics, University of California, Berkeley","university of california berkeley","California Letter 1"
"Shawn A. Reeves","shawn a reeves","Senior Manager Sales Strategy, Planning, and Analytics, Cisco Systems","cisco","California Letter 1"
"Gil Refael","gil refael","Professor of Theoretical Physics, California Institute of Technology","california institute of technology","California Letter 1"
"Joseph C. Reichenberger","joseph c reichenberger","Professor of Civil and Environmental Engineering, Loyola Marymount University","loyola marymount university","California Letter 1"
"Sandor Reichman","sandor reichman","Retired Professor of Chemistry, California State University, Northridge","california state university northridge","California Letter 1"
"Zadock Joshua Reid","zadock joshua reid","Professor of Mathematics, California State University, San Bernardino","california state university san bernardino","California Letter 1"
"Hanna Reisler","hanna reisler","Lloyd Armstrong Jr. Professor in Science and Engineering, University of Southern California","university of southern california","California Letter 1"
"Emil Reisler","emil reisler","Professor of Biochemistry, University of California, Los Angeles","university of california los angeles","California Letter 1"
"John Reiss","john reiss","Professor of Zoology, Humboldt State University","humboldt state university","California Letter 1"
"David Reitze","david reitze","Research Professor of Physics, California Institute of Technology","california institute of technology","California Letter 1"
"Gang Ren","gang ren","Staff Scientist, Principal Investigator, Lawrence Berkeley National Laboratory","lawrence berkeley national laboratory","California Letter 1"
"David K. Rensin","david k rensin","Senior Vice President of Engineering, Pendo.io","pendo.io","California Letter 1"
"Aristides Requicha","aristides requicha","Professor Emeritus of Computer Science and Electrical Engineering, University of Southern California; Member, National Academy of Engineering USA","university of southern california","California Letter 1"
"Nicolai Reshetikhin","nicolai reshetikhin","Professor of Mathematics, University of California, Berkeley","university of california berkeley","California Letter 1"
"Guillermo Reyes Souto","guillermo reyes souto","Assistant Professor of Mathematics, University of Southern California","university of southern california","California Letter 1"
"R. Michael Rich","r michael rich","Research Astronomer, University of California, Los Angeles","university of california los angeles","California Letter 1"
"Robert H. Riffenburgh","robert h riffenburgh","Adjunct Professor of Statistics, San Diego State University; Retired Chief of Biostatistics, Naval Medical Center San Diego; Fellow American Statistical Association; Fellow Royal Statistical Society","san diego state university","California Letter 1"
